Prod,InqOrProj,ProjType,Type,Ind,IndSub,Replacement,NetValue,Date,LeadTime,CustNum,Outcome
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,72569,6/16/2014,15,30,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,26176,3/12/2015,11,451,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,18842,3/10/2014,6,300,Lost
Armadillo2,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,354407,11/18/2014,28,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,38812,8/15/2014,22,477,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,62115,4/18/2014,17,452,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,19472,6/20/2014,5,452,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,30388,6/24/2014,20,416,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,51523,3/23/2015,20,352,Won
Gorilla,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,62160,2/11/2014,22,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,17871,5/15/2014,13,77,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,35153,1/23/2015,16,452,Lost
Bear,INQUIRY,Std/Std,OEM,General Industrial,Other General Industrial,No,5199,6/10/2014,6,165,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,41472,2/13/2014,20,452,Lost
Horse,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,1921,5/6/2015,6,96,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Energy,Other,No,69646,4/22/2014,16,377,Lost
Wolf,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,9953,2/12/2014,10,450,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,48609,1/20/2015,12,650,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,28758,10/2/2014,8,452,Won
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,23310,2/19/2014,8,417,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,29861,3/10/2014,6,300,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,1728,6/3/2014,6,352,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,12421,1/26/2015,9,30,Won
Rhino,PROJECT,Eng/Eng,Unknown,Unknown,Unknown,No,887731,7/26/2014,16,2,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,4857,8/27/2014,8,30,Lost
Lion,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,11415,9/11/2014,7,2,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,7594,9/16/2014,6,67,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,1844,5/7/2014,5,30,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,19615,2/7/2015,12,452,Won
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,263485,5/21/2015,24,452,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,319580,12/29/2014,10,557,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,118334,11/19/2014,18,616,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,19431,4/22/2015,13,452,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Textile,No,1729,5/5/2015,5,151,Lost
Yak1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,67710,11/12/2014,18,167,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,36131,1/28/2015,12,30,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,13216,8/18/2014,6,452,Lost
Bear,INQUIRY,Eng/Eng,OEM,HVAC & Refrigeration,Filters and Heat Exchangers,No,7221,6/20/2014,6,383,Lost
Yak2,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,168976,9/24/2014,20,451,Lost
Rhino,PROJECT,Eng/Eng,OEM,Water & Waste Water Processing,Wastewater Processing,No,159921,8/13/2014,16,598,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,102111,3/21/2015,16,452,Lost
Rhino,PROJECT,Eng/Eng,OEM,Energy,Other,No,1026109,10/15/2014,18,377,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,12295,8/10/2014,11,452,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,8880,10/9/2014,8,30,Lost
Bear,INQUIRY,Eng/Eng,OEM,Pulp & Paper,Pulp and Paper Production,No,4763,3/7/2014,6,23,Won
Unknown,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3885,7/3/2014,7,30,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3885,4/30/2014,8,352,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,90003,11/5/2014,10,560,Lost
Bear,INQUIRY,Eng/Eng,OEM,Construction Machinery (non-Mining),Construction Machinery Manufacturing,No,6240,10/16/2014,10,645,Won
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,78681,8/12/2014,6,227,Lost
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3538,6/16/2014,5,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,5153,3/28/2014,10,30,Won
Armadillo2,INQUIRY,Std/Std,OEM,General Industrial,Other General Industrial,Yes,388500,4/2/2014,32,250,Lost
Horse,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,1813,4/3/2014,5,72,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,39269,1/31/2014,10,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,7745,1/2/2014,6,122,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,37540,5/29/2015,19,69,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,35699,2/26/2015,18,550,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,5396,6/9/2014,6,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,17277,11/22/2014,11,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,101012,2/28/2014,15,394,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,42624,3/18/2014,14,430,Lost
Rhino,PROJECT,Eng/Eng,OEM,Mining,Mining Equipment - Other,No,394425,4/29/2015,20,429,Lost
Ox,INQUIRY,Eng/Eng,IC / End User,Wood Products,Sawmilling and Planing,Yes,531,3/17/2014,10,260,Won
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,1611776,3/9/2015,36,120,Lost
Ox,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,112581,2/14/2015,6,98,Lost
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,2997,5/30/2014,20,30,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,3399,7/25/2014,10,210,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,14547,5/12/2015,14,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,81376,7/22/2014,14,212,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,2586,5/16/2014,6,650,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3441,1/9/2014,6,452,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,32190,4/22/2014,18,452,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,666,3/20/2015,5,30,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,1971,10/2/2014,5,452,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,82297,4/11/2015,22,452,Lost
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3885,4/7/2014,5,133,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,2997,1/13/2015,6,30,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,54202,5/20/2015,18,452,Won
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,6882,2/12/2015,5,122,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,38830,8/13/2014,12,30,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,2370,1/28/2015,6,452,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,6260,3/21/2014,6,452,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,14952,1/6/2015,6,30,Lost
Bear,PROJECT,Eng/Eng,OEM,Mining,Mining Equipment - Pumping / Fluid Handling Equipment,No,40765,1/6/2014,8,636,Won
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,98790,7/29/2014,16,452,Won
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,47368,1/7/2015,20,306,Lost
Rhino,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,38850,9/16/2014,17,549,Won
Yak2,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,71468,1/27/2014,18,67,Lost
Yak1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,51928,4/16/2014,18,169,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,135254,10/22/2014,18,577,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,36126,10/18/2014,22,306,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,28305,11/17/2014,12,452,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,30522,2/23/2015,16,452,Lost
Horse,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,4604,1/13/2014,6,567,Lost
Ox,INQUIRY,Std/Std,OEM,General Industrial,Textile,No,13875,7/7/2014,8,18,Won
Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,36812,5/18/2015,12,2,Lost
Ox,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,7754,1/23/2015,6,127,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10511,1/10/2014,10,452,Won
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,17041,1/21/2015,6,77,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,8138,7/28/2014,8,69,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,9593,1/19/2015,14,210,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,25557,5/13/2014,8,394,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,2214,5/5/2014,7,30,Lost
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,1998,9/3/2014,5,67,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6140,11/15/2014,5,30,Lost
Ox,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,35428,1/29/2015,10,553,Won
Gorilla,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,19407,10/22/2014,10,451,Lost
Rhino,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,26464,8/7/2014,16,2,Lost
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,18201,12/16/2014,20,452,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,5048,3/18/2014,9,30,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,154675,3/28/2015,24,352,Lost
Rhino,PROJECT,Eng/Eng,OEM,Energy,Other,No,7158680,1/8/2014,28,259,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,43943,7/25/2014,20,352,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,12286,1/28/2014,10,550,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,2442,3/18/2015,6,67,Lost
Panther,INQUIRY,Eng/Eng,IC / End User,General Industrial,Other General Industrial,No,12212,8/27/2014,6,137,Lost
Panther,INQUIRY,Eng/Eng,OEM,Cement & Aggregates,Construction Machinery Manufacturing,No,58883,1/8/2014,18,441,Won
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,178029,6/25/2014,34,452,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,9833,11/26/2014,6,300,Lost
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,90375,1/30/2014,12,366,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,29571,7/18/2014,16,47,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,294587,8/16/2014,24,227,Lost
Moose,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,Yes,232112,2/26/2015,40,431,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,14555,10/8/2014,9,386,Won
Panther,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,81143,2/26/2014,40,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,19130,10/9/2014,26,418,Lost
Wolf,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,16650,6/5/2014,12,561,Lost
Elephant,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,47292,5/17/2015,16,2,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,172724,9/4/2014,20,541,Lost
Yak1,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,26945,2/11/2014,16,238,Lost
Elephant,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,27789,10/8/2014,11,550,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,24872,3/27/2015,18,452,Lost
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,41319,1/29/2014,5,2,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,14555,10/8/2014,9,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,67127,4/17/2015,6,477,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,30178,4/23/2014,12,452,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,2775,9/30/2014,8,452,Lost
Rhino,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,32503,8/21/2014,11,2,Lost
Panther,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3011,12/23/2014,8,436,Lost
Armadillo1,INQUIRY,Eng/Eng,OEM,General Industrial,Pumps,No,107360,8/12/2014,22,325,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,28768,1/24/2015,16,452,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,89100,4/22/2014,18,2,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,125068,12/11/2014,18,238,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,78160,10/22/2014,22,452,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,4196,4/29/2014,5,30,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,18648,3/13/2015,10,141,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,63756,4/25/2015,10,75,Lost
Armadillo1,INQUIRY,Eng/Eng,OEM,Energy,Other,No,55254,9/4/2014,6,253,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,58705,7/8/2014,15,561,Lost
Brown Bear,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,Yes,65046,3/26/2015,26,239,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,5437,2/7/2014,8,30,Won
Rhino,INQUIRY,Std/Std,Reseller,Mining,Mining Equipment - Other,No,107670,2/12/2015,18,203,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,7341,10/20/2014,5,191,Lost
Ox,INQUIRY,Std/Std,OEM,Cement & Aggregates,Asphalt Processing and Paving Equipment,No,6660,5/18/2015,6,176,Lost
Yak2,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,302115,3/11/2014,18,2,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,41921,5/7/2015,24,440,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,60241,2/13/2015,22,30,Lost
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,6140,1/27/2014,6,321,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,29453,12/30/2014,11,452,Lost
Ox,INQUIRY,Eng/Eng,IC / End User,Wood Products,Sawmilling and Planing,Yes,35044,3/25/2014,10,261,Won
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,23652,4/24/2015,16,213,Lost
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,8825,10/1/2014,9,2,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,19814,2/10/2015,20,67,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,142684,3/15/2015,24,351,Lost
Armadillo1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,36075,7/7/2014,16,2,Won
Elephant,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,43846,1/12/2015,13,621,Won
Elephant,PROJECT,Eng/Eng,Distributor,Distribution,Distributor,No,50654,2/17/2015,8,300,Lost
Bear,INQUIRY,Std/Std,OEM,Mining,Mining Equipment - Other,No,11322,8/4/2014,5,488,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,47562,8/5/2014,18,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,4386,1/17/2014,8,451,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,5477,7/28/2014,10,549,Lost
Bear,PROJECT,Std/Std,OEM,Cement & Aggregates,Construction Machinery Manufacturing,No,38850,3/30/2015,12,545,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,21162,3/3/2015,9,452,Won
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,39645,8/13/2014,24,30,Won
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,11771,3/27/2014,17,306,Lost
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,15223,11/25/2014,6,212,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,5562,4/2/2014,6,452,Lost
Wolf,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,117716,3/12/2014,16,567,Lost
Brown Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,47730,4/18/2014,18,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,8079,4/30/2015,10,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,29250,2/14/2015,12,452,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,8882,3/2/2015,6,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,172499,4/27/2014,24,549,Won
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,82140,1/19/2015,18,352,Won
Yak1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,78192,5/7/2015,16,550,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,38757,3/5/2014,14,452,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,66972,8/10/2014,20,451,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,5929,9/20/2014,8,452,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,76671,12/16/2014,20,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,16293,3/20/2014,8,352,Lost
Ox,INQUIRY,Eng/Eng,OEM,General Industrial,Textile,Yes,59940,6/27/2014,8,151,Lost
Bear,INQUIRY,Std/Std,OEM,General Industrial,Material Handling,No,1357,6/17/2014,6,342,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,22755,9/25/2014,18,477,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10110,4/19/2014,17,451,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,24210,2/28/2014,21,30,Won
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,4864,5/7/2014,7,2,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,174632,1/22/2015,17,2,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,40612,2/6/2014,18,590,Lost
Rhino,INQUIRY,Std/Std,OEM,General Industrial,Other General Industrial,No,17760,6/9/2014,22,416,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,64968,5/8/2014,9,352,Lost
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,252303,11/3/2014,40,352,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,11900,1/8/2014,13,80,Lost
Moose,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,50826,3/11/2015,34,550,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,58176,2/24/2014,24,528,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,29082,4/20/2015,8,452,Won
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,62249,4/17/2014,22,352,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,90316,1/7/2014,22,557,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,18094,2/27/2014,7,590,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,13558,4/6/2015,10,67,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,1497,2/18/2015,6,162,Lost
Horse,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,23494,5/27/2014,6,549,Lost
Ox,PROJECT,Eng/Eng,OEM,Energy,Turbomachinery,No,424204,3/24/2015,18,284,Won
Ox,INQUIRY,Eng/Eng,OEM,Cement & Aggregates,Other Non-Metallic Minerals Production Equipment,No,50572,2/5/2014,10,426,Lost
Ox,PROJECT,Eng/Eng,Intercompany,Intercompany,Intercompany,No,118770,5/21/2014,13,549,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,4196,4/29/2014,5,501,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,14664,9/12/2014,10,30,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,24005,11/10/2014,16,544,Lost
Yak2,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,28343,7/11/2014,18,564,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,33921,8/22/2014,10,452,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,54616,2/7/2014,17,220,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,8578,6/21/2014,10,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,38025,1/29/2015,26,452,Lost
Elephant,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,1677,3/23/2015,7,548,Lost
Ox,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,26778,1/24/2015,10,562,Lost
Yak2,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,164423,2/3/2014,20,452,Lost
Bear,INQUIRY,Eng/Eng,OEM,Agriculture & Farm,Farming Machinery & Equipment,No,4181,2/23/2015,5,476,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,5420,3/19/2014,6,141,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,88600,1/12/2015,18,452,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,5360,12/6/2014,9,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,34159,1/3/2014,8,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,4084,1/8/2014,9,352,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,1171,2/24/2014,5,352,Lost
Rhino,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,55327,7/18/2014,15,2,Won
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,94145,4/27/2015,16,75,Lost
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,55168,5/15/2015,26,2,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,99107,12/16/2014,18,352,Lost
Elephant,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,9708,8/16/2014,10,659,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,16643,5/28/2015,14,452,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,78223,8/11/2014,11,601,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,5579,6/23/2014,6,75,Won
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,32267,5/4/2014,24,2,Lost
Brown Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,33855,1/7/2014,20,30,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,28332,8/12/2014,7,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,45093,2/28/2014,13,465,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,76817,5/7/2014,20,452,Won
Elephant,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,Yes,4358,4/24/2015,6,10,Lost
